B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 2
B10, Trade, 626.700, 96, B10, S06, 1
B10, Trade, 634.700, 101, B10, S03, 1
B10, Trade, 642.925, 100, B10, S06, 1
B10, Trade, 656.600, 100, B10, S03, 1
B10, Trade, 661.300, 97, B10, S06, 1
B10, Trade, 666.500, 99, B10, S03, 1
B10, Trade, 674.625, 99, B10, S03, 1
B10, Trade, 683.900, 96, B10, S03, 1
B10, Trade, 692.875, 101, B10, S06, 1
B10, Trade, 707.875, 101, B10, S06, 1
B10, Trade, 718.775, 99, B10, S05, 1
B10, Trade, 721.450, 98, B10, S01, 1
B10, Trade, 723.375, 97, B10, S01, 1
B10, Trade, 733.875, 96, B10, S05, 1
B10, Trade, 740.875, 100, B10, S03, 1
B10, Trade, 751.050, 96, B10, S03, 1
B10, Trade, 756.575, 100, B10, S06, 1
B10, Trade, 760.225, 94, S08, B10, 1
B10, Trade, 765.350, 99, B10, S08, 1
B10, Trade, 772.750, 98, S08, B10, 1
B10, Trade, 776.650, 99, B10, S00, 1
B10, Trade, 784.750, 99, B10, S06, 1
B10, Trade, 789.225, 99, B10, S04, 1
B10, Trade, 793.850, 97, B10, S06, 1
B10, Trade, 802.775, 95, B10, S06, 1
B10, Trade, 812.400, 100, B10, S07, 1
B10, Trade, 815.300, 99, B10, S06, 1
B10, Trade, 826.275, 101, B10, S06, 1
B10, Trade, 841.350, 101, B10, S09, 1
B10, Trade, 849.050, 101, B10, S01, 1
B10, Trade, 854.575, 98, B10, S06, 1
B10, Trade, 861.175, 97, B10, S05, 1
B11, 100
B11, Trade, 330.150, 102, S00, B11, 1
B11, Trade, 335.800, 97, S04, B11, 1
B11, Trade, 341.150, 97, S00, B11, 1
B11, Trade, 348.075, 102, S10, B11, 1
B11, Trade, 350.575, 98, S08, B11, 1
B11, Trade, 356.725, 101, S07, B11, 1
B11, Trade, 360.525, 99, S04, B11, 1
B11, Trade, 369.675, 100, S08, B11, 1
B11, Trade, 370.825, 100, S01, B11, 1
B11, Trade, 373.275, 100, S00, B11, 1
B11, Trade, 381.775, 91, S00, B11, 1
B11, Trade, 389.825, 107, B11, S08, 1
B11, Trade, 392.425, 102, S10, B11, 1
B11, Trade, 394.550, 107, S11, B11, 1
B11, Trade, 399.825, 101, S08, B11, 1
B11, Trade, 405.925, 102, S00, B11, 1
B11, Trade, 410.925, 101, S02, B11, 1
B11, Trade, 418.625, 107, S11, B11, 1
B11, Trade, 420.200, 105, S00, B11, 1
B11, Trade, 423.750, 105, S02, B11, 1
B11, Trade, 431.050, 107, S11, B11, 1
B11, Trade, 436.150, 101, S08, B11, 1
B11, Trade, 443.575, 107, B11, S07, 1
B11, Trade, 446.050, 106, S01, B11, 1
B11, Trade, 452.450, 107, B11, S00, 1
B11, Trade, 456.075, 104, S01, B11, 1
B11, Trade, 464.075, 104, S07, B11, 1
B11, Trade, 466.250, 101, S08, B11, 1
B11, Trade, 470.875, 103, S08, B11, 1
B11, Trade, 475.550, 97, S05, B11, 1
B11, Trade, 483.650, 99, S02, B11, 1
B11, Trade, 485.275, 107, B11, S05, 1
B11, Trade, 491.375, 98, S08, B11, 1
B11, Trade, 497.100, 103, S00, B11, 1
B11, Trade, 501.650, 107, B11, S07, 1
B11, Trade, 507.525, 106, S08, B11, 1
B11, Trade, 510.350, 100, S01, B11, 1
B11, Trade, 517.650, 99, S07, B11, 1
B11, Trade, 520.625, 107, S11, B11, 1
B11, Trade, 529.650, 107, S08, B11, 1
B11, Trade, 532.600, 97, S00, B11, 1
B11, Trade, 539.425, 107, S11, B11, 1
B11, Trade, 542.225, 102, S00, B11, 1
B11, Trade, 548.400, 105, S08, B11, 1
B11, Trade, 552.575, 105, S01, B11, 1
B11, Trade, 559.225, 102, S10, B11, 1
B11, Trade, 560.225, 100, S02, B11, 1
B11, Trade, 569.775, 105, S01, B11, 1
B11, Trade, 576.000, 107, B11, S09, 1
B11, Trade, 577.375, 99, S01, B11, 1
B11, Trade, 584.925, 107, S11, B11, 1
B11, Trade, 588.250, 101, S08, B11, 1
