B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B12, Trade, 813.960, 97, S03, B12, 1
B12, Trade, 820.900, 95, B12, S10, 1
B12, Trade, 827.440, 96, B12, S04, 1
B12, Trade, 832.800, 98, S02, B12, 1
B12, Trade, 853.100, 98, S05, B12, 1
B13, 100
B13, Trade, 266.780, 100, S09, B13, 1
B13, Trade, 272.940, 102, S03, B13, 1
B13, Trade, 280.300, 104, B13, S04, 1
B13, Trade, 283.820, 99, S10, B13, 1
B13, Trade, 292.400, 104, B13, S09, 1
B13, Trade, 303.120, 104, S13, B13, 1
B13, Trade, 306.760, 104, S13, B13, 1
B13, Trade, 309.080, 104, B13, S04, 1
B13, Trade, 313.680, 103, S02, B13, 1
B13, Trade, 325.080, 99, S02, B13, 1
B13, Trade, 333.540, 104, B13, S00, 1
B13, Trade, 343.000, 104, B13, S10, 1
B13, Trade, 345.680, 104, S13, B13, 1
B13, Trade, 350.500, 102, S09, B13, 1
B13, Trade, 357.920, 104, S13, B13, 1
B13, Trade, 363.360, 98, S01, B13, 1
B13, Trade, 370.460, 104, B13, S08, 1
B13, Trade, 380.940, 102, S02, B13, 1
B13, Trade, 382.240, 101, S12, B13, 1
B13, Trade, 383.780, 104, B13, S10, 1
B13, Trade, 387.780, 104, S09, B13, 1
B13, Trade, 400.540, 104, B13, S08, 1
B13, Trade, 403.880, 104, B13, S08, 1
B13, Trade, 409.740, 104, S13, B13, 1
B13, Trade, 410.180, 100, S09, B13, 1
B13, Trade, 416.880, 101, S01, B13, 1
B13, Trade, 420.460, 102, S09, B13, 1
B13, Trade, 425.040, 104, S13, B13, 1
B13, Trade, 434.240, 102, S12, B13, 1
B13, Trade, 436.000, 83, S03, B13, 1
B13, Trade, 442.140, 91, S01, B13, 1
B13, Trade, 448.880, 99, S01, B13, 1
B13, Trade, 456.460, 101, S09, B13, 1
B13, Trade, 460.640, 101, S01, B13, 1
B13, Trade, 467.820, 104, S13, B13, 1
B13, Trade, 470.060, 99, S02, B13, 1
B13, Trade, 479.920, 103, S10, B13, 1
B13, Trade, 491.060, 103, S06, B13, 1
B13, Trade, 497.160, 91, S02, B13, 1
B13, Trade, 498.980, 95, S09, B13, 1
B13, Trade, 508.240, 103, S06, B13, 1
B13, Trade, 514.960, 101, S02, B13, 1
B13, Trade, 522.240, 102, S03, B13, 1
B13, Trade, 525.640, 104, S13, B13, 1
B13, Trade, 529.860, 101, S02, B13, 1
B13, Trade, 537.500, 99, S01, B13, 1
B13, Trade, 542.860, 104, B13, S08, 1
B13, Trade, 545.100, 100, S12, B13, 1
B13, Trade, 551.400, 83, S02, B13, 1
B13, Trade, 561.680, 104, B13, S10, 1
B13, Trade, 565.560, 104, B13, S08, 1
B13, Trade, 568.860, 99, S03, B13, 1
B13, Trade, 570.360, 104, B13, S07, 1
B13, Trade, 577.940, 104, B13, S13, 1
B13, Trade, 583.460, 104, B13, S04, 1
B13, Trade, 590.900, 104, B13, S12, 1
B13, Trade, 603.820, 104, B13, S13, 1
B13, Trade, 604.800, 104, B13, S09, 1
B13, Trade, 610.160, 100, S12, B13, 1
B13, Trade, 620.180, 104, B13, S12, 1
B13, Trade, 624.640, 104, B13, S08, 1
B13, Trade, 630.180, 104, B13, S08, 1
B13, Trade, 639.920, 104, B13, S13, 1
B13, Trade, 644.840, 104, S13, B13, 1
B13, Trade, 648.260, 103, S02, B13, 1
B13, Trade, 654.300, 104, S09, B13, 1
B13, Trade, 660.120, 104, B13, S13, 1
B13, Trade, 664.180, 92, S02, B13, 1
B13, Trade, 677.760, 104, B13, S04, 1
B13, Trade, 684.720, 104, S13, B13, 1
B13, Trade, 691.160, 104, B13, S04, 1
B13, Trade, 693.980, 104, S06, B13, 1
B13, Trade, 697.840, 99, S03, B13, 1
B13, Trade, 702.820, 104, S13, B13, 1
B13, Trade, 709.080, 96, S01, B13, 1
B13, Trade, 711.540, 104, S13, B13, 1
B13, Trade, 721.000, 97, S01, B13, 1
B13, Trade, 726.880, 98, S03, B13, 1
B13, Trade, 733.440, 104, S13, B13, 1
B13, Trade, 738.780, 100, S01, B13, 1
B13, Trade, 744.500, 104, B13, S13, 1
B13, Trade, 750.280, 98, S09, B13, 1
B13, Trade, 755.780, 100, S12, B13, 1
B13, Trade, 759.060, 99, S03, B13, 1
B13, Trade, 767.880, 104, B13, S13, 1
B13, Trade, 774.680, 104, B13, S06, 1
B13, Trade, 786.220, 104, B13, S07, 1
B13, Trade, 788.780, 104, B13, S12, 1
B13, Trade, 794.900, 103, S03, B13, 1
B13, Trade, 798.640, 104, B13, S09, 1
B13, Trade, 801.820, 98, S01, B13, 1
B13, Trade, 811.320, 97, S02, B13, 1
B13, Trade, 814.960, 93, S02, B13, 1
B13, Trade, 817.660, 100, S12, B13, 1
B13, Trade, 821.880, 95, S01, B13, 1
B13, Trade, 831.500, 102, S06, B13, 1
B13, Trade, 834.140, 101, S03, B13, 1
B13, Trade, 838.880, 100, S12, B13, 1
B13, Trade, 847.180, 104, B13, S13, 1
B13, Trade, 852.840, 104, B13, S04, 1
B14, 52
B14, Trade, 16.780, 91, S01, B14, 1
B14, Trade, 40.080, 87, S01, B14, 1
B14, Trade, 52.200, 107, S06, B14, 1
B14, Trade, 60.400, 91, S02, B14, 1
B14, Trade, 65.280, 100, S12, B14, 1
B14, Trade, 79.260, 98, S02, B14, 1
B14, Trade, 86.280, 96, S09, B14, 1
B14, Trade, 92.740, 100, S12, B14, 1
B14, Trade, 103.220, 99, S01, B14, 1
B14, Trade, 119.700, 104, B14, S09, 1
B14, Trade, 140.440, 97, S10, B14, 1
B14, Trade, 171.180, 83, S08, B14, 1
B14, Trade, 195.320, 99, S03, B14, 1
B14, Trade, 212.640, 99, S01, B14, 1
B14, Trade, 217.320, 103, S10, B14, 1
B14, Trade, 251.560, 104, S13, B14, 1
B14, Trade, 268.820, 104, S13, B14, 1
B14, Trade, 279.020, 104, S12, B14, 1
B14, Trade, 288.860, 108, S01, B14, 1
B14, Trade, 295.820, 108, B14, S13, 1
B14, Trade, 298.660, 91, S03, B14, 1
B14, Trade, 312.020, 104, S06, B14, 1
B14, Trade, 318.460, 108, S14, B14, 1
B14, Trade, 321.200, 91, S03, B14, 1
B14, Trade, 349.300, 96, B14, S08, 1
B14, Trade, 361.120, 98, S01, B14, 1
B14, Trade, 370.680, 104, S02, B14, 1
B14, Trade, 375.320, 101, S09, B14, 1
B14, Trade, 394.000, 103, B14, S05, 1
B14, Trade, 401.020, 104, S13, B14, 1
B14, Trade, 405.620, 91, S02, B14, 1
B14, Trade, 429.020, 91, S02, B14, 1
B14, Trade, 439.040, 100, B14, S12, 1
B14, Trade, 447.740, 99, B14, S08, 1
B14, Trade, 487.560, 108, B14, S08, 1
B14, Trade, 500.940, 104, S13, B14, 1
B14, Trade, 518.840, 98, B14, S08, 1
B14, Trade, 539.760, 108, S14, B14, 1
B14, Trade, 556.640, 94, S02, B14, 1
B14, Trade, 573.520, 102, S02, B14, 1
B14, Trade, 581.540, 105, B14, S10, 1
B14, Trade, 583.960, 104, S02, B14, 1
B14, Trade, 593.940, 108, B14, S13, 1
B14, Trade, 605.580, 91, S03, B14, 1
B14, Trade, 605.940, 100, B14, S10, 1
B14, Trade, 618.240, 105, B14, S13, 1
B14, Trade, 663.440, 97, S09, B14, 1
B14, Trade, 679.060, 104, S03, B14, 1
B14, Trade, 760.360, 102, S09, B14, 1
B14, Trade, 776.120, 99, B14, S08, 1
B14, Trade, 786.340, 87, S03, B14, 1
B14, Trade, 834.500, 106, S12, B14, 1
B15, 100
B15, Trade, 318.260, 104, S10, B15, 1
B15, Trade, 327.240, 102, S03, B15, 1
B15, Trade, 329.800, 106, B15, S13, 1
B15, Trade, 333.400, 105, B15, S12, 1
B15, Trade, 342.700, 105, B15, S13, 1
B15, Trade, 346.100, 102, B15, S05, 1
B15, Trade, 352.440, 103, S06, B15, 1
B15, Trade, 356.940, 99, S03, B15, 1
B15, Trade, 360.420, 98, S03, B15, 1
B15, Trade, 367.580, 109, S02, B15, 1
B15, Trade, 373.380, 101, S01, B15, 1
B15, Trade, 376.700, 104, S13, B15, 1
B15, Trade, 381.900, 100, B15, S04, 1
B15, Trade, 389.160, 104, S02, B15, 1
B15, Trade, 391.660, 102, S01, B15, 1
B15, Trade, 398.860, 104, S02, B15, 1
B15, Trade, 403.720, 104, S01, B15, 1
B15, Trade, 411.800, 99, S01, B15, 1
B15, Trade, 420.200, 102, S06, B15, 1
B15, Trade, 430.140, 112, S15, B15, 1
B15, Trade, 437.180, 84, S02, B15, 1
B15, Trade, 444.480, 101, B15, S04, 1
B15, Trade, 448.700, 91, S03, B15, 1
B15, Trade, 449.840, 108, S14, B15, 1
B15, Trade, 455.240, 106, B15, S06, 1
B15, Trade, 463.620, 100, S01, B15, 1
B15, Trade, 470.700, 99, S03, B15, 1
B15, Trade, 476.560, 104, S03, B15, 1
B15, Trade, 483.260, 103, S01, B15, 1
B15, Trade, 486.180, 104, S13, B15, 1
B15, Trade, 489.940, 107, B15, S09, 1
B15, Trade, 495.720, 95, B15, S10, 1
B15, Trade, 503.820, 98, S02, B15, 1
B15, Trade, 506.280, 102, S03, B15, 1
B15, Trade, 510.540, 104, S13, B15, 1
B15, Trade, 517.480, 100, B15, S00, 1
B15, Trade, 523.780, 103, B15, S04, 1
B15, Trade, 530.740, 108, B15, S08, 1
B15, Trade, 535.560, 108, S02, B15, 1
B15, Trade, 541.260, 107, S02, B15, 1
B15, Trade, 546.020, 97, B15, S04, 1
B15, Trade, 553.340, 103, S12, B15, 1
B15, Trade, 558.640, 104, S13, B15, 1
B15, Trade, 563.620, 105, S06, B15, 1
B15, Trade, 569.520, 100, B15, S06, 1
B15, Trade, 571.100, 103, S01, B15, 1
B15, Trade, 581.240, 106, B15, S11, 1
B15, Trade, 585.420, 105, B15, S09, 1
B15, Trade, 589.460, 105, B15, S13, 1
B15, Trade, 595.660, 105, S06, B15, 1
B15, Trade, 598.420, 105, B15, S08, 1
B15, Trade, 600.260, 105, B15, S13, 1
B15, Trade, 610.040, 99, S02, B15, 1
B15, Trade, 610.240, 112, S15, B15, 1
B15, Trade, 614.540, 102, S09, B15, 1
B15, Trade, 622.880, 98, S09, B15, 1
B15, Trade, 633.900, 110, S02, B15, 1
