B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B13, Trade, 846.500, 104, B13, S08, 1
B13, Trade, 850.300, 104, B13, S13, 1
B13, Trade, 851.420, 104, S09, B13, 1
B13, Trade, 858.300, 104, B13, S07, 1
B14, 100
B14, Trade, 311.040, 108, S10, B14, 1
B14, Trade, 317.120, 106, S10, B14, 1
B14, Trade, 324.440, 108, S14, B14, 1
B14, Trade, 327.240, 104, S12, B14, 1
B14, Trade, 328.740, 104, S01, B14, 1
B14, Trade, 334.680, 107, S09, B14, 1
B14, Trade, 341.400, 104, S10, B14, 1
B14, Trade, 349.340, 108, B14, S13, 1
B14, Trade, 358.740, 104, S13, B14, 1
B14, Trade, 360.500, 108, B14, S07, 1
B14, Trade, 365.600, 104, S13, B14, 1
B14, Trade, 368.300, 108, B14, S05, 1
B14, Trade, 377.580, 104, S13, B14, 1
B14, Trade, 382.060, 108, B14, S06, 1
B14, Trade, 386.960, 108, B14, S01, 1
B14, Trade, 397.420, 108, B14, S12, 1
B14, Trade, 402.100, 102, S01, B14, 1
B14, Trade, 404.600, 105, S05, B14, 1
B14, Trade, 411.560, 108, B14, S08, 1
B14, Trade, 417.340, 105, S01, B14, 1
B14, Trade, 419.280, 106, S12, B14, 1
B14, Trade, 423.500, 104, S10, B14, 1
B14, Trade, 429.500, 105, S09, B14, 1
B14, Trade, 438.260, 98, S05, B14, 1
B14, Trade, 446.360, 108, S09, B14, 1
B14, Trade, 452.980, 104, S09, B14, 1
B14, Trade, 457.680, 106, S09, B14, 1
B14, Trade, 459.980, 104, S13, B14, 1
B14, Trade, 468.740, 108, B14, S08, 1
B14, Trade, 473.960, 106, S10, B14, 1
B14, Trade, 482.380, 108, B14, S11, 1
B14, Trade, 487.140, 101, S06, B14, 1
B14, Trade, 493.480, 104, S09, B14, 1
B14, Trade, 496.420, 103, S06, B14, 1
B14, Trade, 498.780, 102, S01, B14, 1
B14, Trade, 503.880, 105, S01, B14, 1
B14, Trade, 508.540, 108, B14, S07, 1
B14, Trade, 517.780, 107, S01, B14, 1
B14, Trade, 520.620, 105, S10, B14, 1
B14, Trade, 525.800, 102, S12, B14, 1
B14, Trade, 531.720, 104, S13, B14, 1
B14, Trade, 537.100, 104, S13, B14, 1
B14, Trade, 542.040, 103, S01, B14, 1
B14, Trade, 546.580, 108, B14, S10, 1
B14, Trade, 553.340, 106, S12, B14, 1
B14, Trade, 558.360, 106, S05, B14, 1
B14, Trade, 565.300, 108, B14, S01, 1
B14, Trade, 576.300, 108, B14, S07, 1
B14, Trade, 587.740, 108, B14, S01, 1
B14, Trade, 593.360, 103, S05, B14, 1
B14, Trade, 595.500, 101, S09, B14, 1
B14, Trade, 605.800, 108, B14, S14, 1
B14, Trade, 608.620, 101, S09, B14, 1
B14, Trade, 613.940, 101, S09, B14, 1
B14, Trade, 616.220, 102, S10, B14, 1
B14, Trade, 622.460, 101, S01, B14, 1
B14, Trade, 629.040, 103, S01, B14, 1
B14, Trade, 630.580, 104, S10, B14, 1
B14, Trade, 640.560, 108, B14, S11, 1
B14, Trade, 644.860, 108, B14, S08, 1
B14, Trade, 647.700, 106, S09, B14, 1
B14, Trade, 653.660, 102, S12, B14, 1
B14, Trade, 657.280, 108, S06, B14, 1
B14, Trade, 660.280, 104, S13, B14, 1
B14, Trade, 665.560, 104, S01, B14, 1
B14, Trade, 672.900, 105, S12, B14, 1
B14, Trade, 678.400, 105, S05, B14, 1
B14, Trade, 680.720, 103, S06, B14, 1
B14, Trade, 686.860, 104, S10, B14, 1
B14, Trade, 692.440, 103, S09, B14, 1
B14, Trade, 697.680, 108, S14, B14, 1
B14, Trade, 702.640, 104, S13, B14, 1
B14, Trade, 705.840, 103, S10, B14, 1
B14, Trade, 714.080, 108, B14, S06, 1
B14, Trade, 718.180, 108, B14, S05, 1
B14, Trade, 725.480, 105, S10, B14, 1
B14, Trade, 731.060, 108, B14, S13, 1
B14, Trade, 742.100, 107, S05, B14, 1
B14, Trade, 750.120, 108, S01, B14, 1
B14, Trade, 751.220, 106, S06, B14, 1
B14, Trade, 760.100, 108, B14, S08, 1
B14, Trade, 765.220, 108, B14, S07, 1
B14, Trade, 767.260, 103, S10, B14, 1
B14, Trade, 772.520, 103, S12, B14, 1
B14, Trade, 777.620, 100, S12, B14, 1
B14, Trade, 786.180, 107, S09, B14, 1
B14, Trade, 790.220, 102, S10, B14, 1
B14, Trade, 791.800, 102, S09, B14, 1
B14, Trade, 801.660, 102, S12, B14, 1
B14, Trade, 805.820, 104, S09, B14, 1
B14, Trade, 809.320, 106, S10, B14, 1
B14, Trade, 816.120, 108, B14, S13, 1
B14, Trade, 819.320, 108, B14, S05, 1
B14, Trade, 828.780, 106, S05, B14, 1
B14, Trade, 834.480, 108, B14, S14, 1
B14, Trade, 840.620, 108, B14, S13, 1
B14, Trade, 845.140, 108, S11, B14, 1
B14, Trade, 853.840, 104, S01, B14, 1
B14, Trade, 856.480, 105, S12, B14, 1
B14, Trade, 860.320, 105, S10, B14, 1
B15, 100
B15, Trade, 296.320, 107, B15, S06, 1
B15, Trade, 302.380, 102, B15, S09, 1
B15, Trade, 307.220, 101, S10, B15, 1
B15, Trade, 309.960, 104, B15, S13, 1
B15, Trade, 317.840, 104, B15, S06, 1
B15, Trade, 325.740, 104, S05, B15, 1
B15, Trade, 331.040, 106, S12, B15, 1
B15, Trade, 336.400, 104, B15, S12, 1
B15, Trade, 343.660, 109, B15, S01, 1
B15, Trade, 345.720, 107, S10, B15, 1
B15, Trade, 352.540, 107, S01, B15, 1
B15, Trade, 360.960, 102, B15, S08, 1
B15, Trade, 369.540, 106, B15, S12, 1
B15, Trade, 371.060, 105, S05, B15, 1
B15, Trade, 380.800, 108, B15, S01, 1
B15, Trade, 388.100, 112, S06, B15, 1
B15, Trade, 391.600, 112, B15, S05, 1
B15, Trade, 396.500, 110, B15, S01, 1
B15, Trade, 401.340, 103, S09, B15, 1
B15, Trade, 407.620, 111, B15, S13, 1
B15, Trade, 408.800, 111, S10, B15, 1
B15, Trade, 416.540, 102, B15, S07, 1
B15, Trade, 426.220, 106, S10, B15, 1
B15, Trade, 432.000, 99, B15, S06, 1
B15, Trade, 440.140, 104, B15, S05, 1
B15, Trade, 442.020, 109, B15, S12, 1
B15, Trade, 444.780, 109, B15, S08, 1
B15, Trade, 451.220, 108, B15, S11, 1
B15, Trade, 456.980, 104, B15, S08, 1
B15, Trade, 461.860, 103, S05, B15, 1
B15, Trade, 468.680, 109, B15, S13, 1
B15, Trade, 471.100, 105, B15, S10, 1
B15, Trade, 479.800, 111, B15, S04, 1
B15, Trade, 487.880, 99, B15, S09, 1
B15, Trade, 494.560, 102, B15, S04, 1
B15, Trade, 498.740, 101, B15, S12, 1
B15, Trade, 501.260, 105, B15, S06, 1
B15, Trade, 507.340, 104, B15, S04, 1
B15, Trade, 514.840, 103, S10, B15, 1
B15, Trade, 522.400, 104, S12, B15, 1
B15, Trade, 528.200, 101, S05, B15, 1
B15, Trade, 532.820, 103, S09, B15, 1
B15, Trade, 536.720, 109, B15, S08, 1
B15, Trade, 539.540, 105, B15, S05, 1
B15, Trade, 549.720, 110, B15, S05, 1
B15, Trade, 553.860, 103, B15, S08, 1
B15, Trade, 557.980, 105, B15, S08, 1
B15, Trade, 560.860, 106, S09, B15, 1
B15, Trade, 564.400, 105, S01, B15, 1
B15, Trade, 570.080, 105, B15, S13, 1
B15, Trade, 575.880, 112, S14, B15, 1
B15, Trade, 581.800, 109, B15, S13, 1
B15, Trade, 591.860, 103, B15, S08, 1
B15, Trade, 598.180, 100, B15, S08, 1
B15, Trade, 604.620, 106, B15, S08, 1
B15, Trade, 613.900, 100, B15, S12, 1
B15, Trade, 616.480, 102, B15, S05, 1
B15, Trade, 625.360, 101, S09, B15, 1
B15, Trade, 629.820, 105, B15, S10, 1
B15, Trade, 634.160, 101, B15, S08, 1
B15, Trade, 643.800, 110, B15, S13, 1
B15, Trade, 648.000, 106, S10, B15, 1
B15, Trade, 656.760, 107, B15, S04, 1
B15, Trade, 659.600, 102, B15, S01, 1
B15, Trade, 669.140, 105, S01, B15, 1
B15, Trade, 671.220, 104, B15, S10, 1
B15, Trade, 677.620, 106, B15, S13, 1
B15, Trade, 688.800, 104, B15, S06, 1
B15, Trade, 697.460, 103, S10, B15, 1
B15, Trade, 705.800, 102, B15, S05, 1
B15, Trade, 710.060, 111, B15, S01, 1
B15, Trade, 711.420, 109, B15, S08, 1
B15, Trade, 719.800, 104, B15, S10, 1
B15, Trade, 728.040, 105, B15, S13, 1
B15, Trade, 728.660, 105, S10, B15, 1
B15, Trade, 735.980, 110, S14, B15, 1
B15, Trade, 738.420, 112, B15, S09, 1
B15, Trade, 741.480, 108, S01, B15, 1
B15, Trade, 749.980, 106, B15, S09, 1
B15, Trade, 755.400, 103, B15, S08, 1
B15, Trade, 758.260, 107, B15, S10, 1
B15, Trade, 763.080, 109, B15, S08, 1
B15, Trade, 768.660, 100, B15, S06, 1
B15, Trade, 774.640, 103, B15, S04, 1
B15, Trade, 782.280, 109, B15, S05, 1
B15, Trade, 785.640, 100, B15, S08, 1
B15, Trade, 792.880, 101, B15, S09, 1
B15, Trade, 796.940, 102, S05, B15, 1
B15, Trade, 809.120, 104, B15, S13, 1
B15, Trade, 812.160, 103, B15, S05, 1
B15, Trade, 817.420, 112, B15, S13, 1
B15, Trade, 819.800, 101, B15, S07, 1
B15, Trade, 823.760, 107, S09, B15, 1
B15, Trade, 826.920, 110, B15, S09, 1
B15, Trade, 838.340, 106, B15, S08, 1
B15, Trade, 839.760, 108, B15, S12, 1
B15, Trade, 841.920, 108, B15, S12, 1
B15, Trade, 851.240, 101, B15, S08, 1
B15, Trade, 855.620, 104, S09, B15, 1
B15, Trade, 859.980, 104, S13, B15, 1
B16, 100
B16, Trade, 255.580, 100, B16, S08, 1
B16, Trade, 261.140, 101, S06, B16, 1
B16, Trade, 266.960, 109, S12, B16, 1
B16, Trade, 271.340, 107, S12, B16, 1
B16, Trade, 279.260, 102, B16, S06, 1
B16, Trade, 289.720, 102, B16, S12, 1
B16, Trade, 299.720, 108, B16, S05, 1
B16, Trade, 307.020, 100, S09, B16, 1
B16, Trade, 309.380, 105, S09, B16, 1
B16, Trade, 315.280, 105, B16, S13, 1
B16, Trade, 326.360, 104, B16, S08, 1
B16, Trade, 333.640, 106, B16, S13, 1
B16, Trade, 334.840, 105, B16, S08, 1
B16, Trade, 344.440, 105, B16, S13, 1
B16, Trade, 352.620, 106, B16, S06, 1
B16, Trade, 359.560, 103, S09, B16, 1
B16, Trade, 367.340, 106, S10, B16, 1
B16, Trade, 370.960, 101, B16, S08, 1
B16, Trade, 375.860, 104, S12, B16, 1
B16, Trade, 381.320, 109, B16, S13, 1
B16, Trade, 388.480, 113, B16, S09, 1
B16, Trade, 392.360, 112, S14, B16, 1
B16, Trade, 401.840, 101, B16, S06, 1
B16, Trade, 410.300, 110, S12, B16, 1
B16, Trade, 413.420, 107, B16, S10, 1
B16, Trade, 418.200, 104, B16, S04, 1
B16, Trade, 426.380, 105, B16, S01, 1
B16, Trade, 434.420, 97, B16, S08, 1
B16, Trade, 441.140, 110, S06, B16, 1
B16, Trade, 447.380, 107, S10, B16, 1
B16, Trade, 453.260, 104, B16, S08, 1
B16, Trade, 456.800, 104, S13, B16, 1
B16, Trade, 465.860, 103, S09, B16, 1
B16, Trade, 475.880, 110, B16, S08, 1
B16, Trade, 479.720, 112, B16, S01, 1
B16, Trade, 488.820, 103, S12, B16, 1
B16, Trade, 495.560, 104, S13, B16, 1
B16, Trade, 499.440, 102, S05, B16, 1
B16, Trade, 502.360, 105, B16, S08, 1
B16, Trade, 504.260, 105, S10, B16, 1
B16, Trade, 510.920, 96, B16, S04, 1
B16, Trade, 515.700, 105, B16, S06, 1
B16, Trade, 523.280, 106, B16, S08, 1
B16, Trade, 526.100, 101, S06, B16, 1
B16, Trade, 533.760, 104, B16, S10, 1
B16, Trade, 538.980, 105, B16, S13, 1
B16, Trade, 548.660, 112, B16, S01, 1
B16, Trade, 555.500, 104, B16, S07, 1
B16, Trade, 559.560, 105, B16, S13, 1
B16, Trade, 563.040, 106, S05, B16, 1
B16, Trade, 565.220, 109, B16, S08, 1
B16, Trade, 572.140, 113, S10, B16, 1
B16, Trade, 578.660, 110, S05, B16, 1
B16, Trade, 583.840, 110, S06, B16, 1
B16, Trade, 585.200, 109, B16, S11, 1
B16, Trade, 598.000, 101, B16, S10, 1
B16, Trade, 605.960, 105, B16, S05, 1
B16, Trade, 616.500, 101, B16, S01, 1
B16, Trade, 622.960, 101, B16, S10, 1
B16, Trade, 631.880, 103, S01, B16, 1
B16, Trade, 635.840, 107, B16, S13, 1
B16, Trade, 640.040, 109, B16, S06, 1
B16, Trade, 643.140, 110, B16, S05, 1
B16, Trade, 646.020, 107, S06, B16, 1
B16, Trade, 656.600, 108, B16, S08, 1
B16, Trade, 663.980, 101, B16, S06, 1
B16, Trade, 668.380, 103, B16, S04, 1
B16, Trade, 671.460, 104, B16, S05, 1
B16, Trade, 677.980, 105, B16, S04, 1
B16, Trade, 684.220, 104, S13, B16, 1
B16, Trade, 685.940, 104, S01, B16, 1
B16, Trade, 702.380, 100, S09, B16, 1
B16, Trade, 704.620, 102, S01, B16, 1
B16, Trade, 710.280, 110, B16, S13, 1
B16, Trade, 714.940, 108, S01, B16, 1
B16, Trade, 719.480, 104, S09, B16, 1
B16, Trade, 723.640, 105, B16, S09, 1
B16, Trade, 729.980, 105, S05, B16, 1
B16, Trade, 733.900, 109, B16, S01, 1
B16, Trade, 738.820, 111, B16, S13, 1
B16, Trade, 741.840, 108, B16, S05, 1
B16, Trade, 750.260, 105, B16, S04, 1
B16, Trade, 756.580, 105, S01, B16, 1
B16, Trade, 758.540, 106, B16, S05, 1
B16, Trade, 762.960, 110, S06, B16, 1
B16, Trade, 773.520, 102, S01, B16, 1
B16, Trade, 780.300, 105, B16, S01, 1
B16, Trade, 783.800, 105, B16, S04, 1
B16, Trade, 793.920, 103, B16, S06, 1
B16, Trade, 798.000, 103, B16, S07, 1
B16, Trade, 803.560, 102, B16, S05, 1
B16, Trade, 811.760, 104, B16, S08, 1
B16, Trade, 817.220, 113, S06, B16, 1
B16, Trade, 823.060, 107, S05, B16, 1
B16, Trade, 833.200, 110, B16, S10, 1
B16, Trade, 840.760, 108, S01, B16, 1
B16, Trade, 844.400, 109, B16, S05, 1
B16, Trade, 855.320, 104, B16, S01, 1
B16, Trade, 856.100, 104, B16, S13, 1
B16, Trade, 862.780, 105, B16, S05, 1
B17, 100
B17, Trade, 264.760, 104, S13, B17, 1
B17, Trade, 270.260, 106, B17, S08, 1
B17, Trade, 273.800, 105, S01, B17, 1
B17, Trade, 281.960, 104, S10, B17, 1
B17, Trade, 284.160, 100, B17, S06, 1
B17, Trade, 291.760, 102, B17, S06, 1
B17, Trade, 292.560, 103, S05, B17, 1
B17, Trade, 301.760, 102, B17, S12, 1
B17, Trade, 306.640, 100, S01, B17, 1
B17, Trade, 308.300, 105, B17, S04, 1
B17, Trade, 313.520, 106, S01, B17, 1
B17, Trade, 320.660, 105, S05, B17, 1
B17, Trade, 329.780, 104, S13, B17, 1
B17, Trade, 332.240, 106, B17, S05, 1
B17, Trade, 339.020, 103, S01, B17, 1
B17, Trade, 347.140, 107, B17, S09, 1
B17, Trade, 349.780, 108, S06, B17, 1
B17, Trade, 366.080, 105, B17, S06, 1
B17, Trade, 366.660, 105, S01, B17, 1
B17, Trade, 372.520, 104, B17, S07, 1
B17, Trade, 380.960, 109, B17, S14, 1
B17, Trade, 384.280, 107, B17, S10, 1
B17, Trade, 390.420, 114, S00, B17, 1
B17, Trade, 395.160, 109, B17, S08, 1
B17, Trade, 403.220, 102, B17, S09, 1
B17, Trade, 407.540, 110, S14, B17, 1
B17, Trade, 413.240, 107, S06, B17, 1
B17, Trade, 418.520, 102, B17, S08, 1
B17, Trade, 426.620, 104, B17, S08, 1
B17, Trade, 433.640, 99, S05, B17, 1
B17, Trade, 436.820, 98, B17, S09, 1
B17, Trade, 440.340, 103, B17, S08, 1
B17, Trade, 450.620, 107, B17, S01, 1
B17, Trade, 458.980, 106, S06, B17, 1
B17, Trade, 462.640, 103, B17, S08, 1
B17, Trade, 465.060, 103, S04, B17, 1
B17, Trade, 473.720, 105, B17, S06, 1
B17, Trade, 478.080, 109, B17, S05, 1
B17, Trade, 480.880, 109, B17, S12, 1
B17, Trade, 489.520, 99, B17, S08, 1
B17, Trade, 498.660, 102, S10, B17, 1
B17, Trade, 502.920, 105, B17, S05, 1
B17, Trade, 506.340, 104, S13, B17, 1
B17, Trade, 509.720, 105, B17, S06, 1
B17, Trade, 520.140, 104, S13, B17, 1
B17, Trade, 522.720, 104, S13, B17, 1
B17, Trade, 528.360, 101, S09, B17, 1
B17, Trade, 536.520, 110, B17, S10, 1
B17, Trade, 537.520, 102, B17, S04, 1
B17, Trade, 543.600, 105, S12, B17, 1
B17, Trade, 549.240, 112, B17, S12, 1
B17, Trade, 555.060, 105, S09, B17, 1
B17, Trade, 557.600, 106, B17, S12, 1
B17, Trade, 565.400, 106, B17, S13, 1
B17, Trade, 569.220, 111, B17, S12, 1
B17, Trade, 572.460, 112, B17, S05, 1
B17, Trade, 579.860, 111, B17, S01, 1
B17, Trade, 583.720, 109, B17, S14, 1
B17, Trade, 590.980, 103, B17, S12, 1
B17, Trade, 599.880, 101, B17, S12, 1
B17, Trade, 601.480, 105, B17, S01, 1
B17, Trade, 604.500, 106, B17, S13, 1
B17, Trade, 615.740, 102, B17, S09, 1
B17, Trade, 620.560, 99, B17, S08, 1
B17, Trade, 626.240, 101, B17, S09, 1
B17, Trade, 635.860, 106, B17, S05, 1
B17, Trade, 644.160, 110, S09, B17, 1
B17, Trade, 646.440, 105, S11, B17, 1
B17, Trade, 658.460, 101, B17, S04, 1
B17, Trade, 664.120, 100, B17, S07, 1
B17, Trade, 668.720, 103, B17, S08, 1
B17, Trade, 671.740, 105, S06, B17, 1
B17, Trade, 682.960, 102, B17, S12, 1
B17, Trade, 685.080, 103, B17, S08, 1
B17, Trade, 689.140, 103, B17, S09, 1
B17, Trade, 697.120, 103, B17, S09, 1
B17, Trade, 704.200, 102, B17, S04, 1
B17, Trade, 709.520, 109, B17, S09, 1
B17, Trade, 712.440, 109, S10, B17, 1
B17, Trade, 723.920, 105, B17, S01, 1
B17, Trade, 729.600, 106, B17, S01, 1
B17, Trade, 735.740, 110, B17, S06, 1
B17, Trade, 742.580, 106, B17, S08, 1
B17, Trade, 747.620, 105, B17, S08, 1
B17, Trade, 759.740, 109, B17, S01, 1
B17, Trade, 767.400, 100, B17, S08, 1
B17, Trade, 775.500, 103, B17, S08, 1
B17, Trade, 779.760, 104, B17, S10, 1
B17, Trade, 782.560, 107, B17, S13, 1
B17, Trade, 792.340, 102, B17, S08, 1
B17, Trade, 799.380, 102, B17, S08, 1
B17, Trade, 810.040, 103, B17, S05, 1
B17, Trade, 815.060, 104, B17, S01, 1
B17, Trade, 817.640, 112, B17, S10, 1
B17, Trade, 827.480, 109, B17, S07, 1
B17, Trade, 837.740, 107, B17, S13, 1
B17, Trade, 840.540, 108, B17, S10, 1
B17, Trade, 849.060, 105, B17, S12, 1
B17, Trade, 854.360, 104, S10, B17, 1
B17, Trade, 861.880, 106, S12, B17, 1
B18, 100
B18, Trade, 338.200, 103, S12, B18, 1
B18, Trade, 343.760, 114, S02, B18, 1
B18, Trade, 351.440, 108, S14, B18, 1
B18, Trade, 357.460, 102, S01, B18, 1
B18, Trade, 359.720, 113, S14, B18, 1
B18, Trade, 364.380, 108, S14, B18, 1
B18, Trade, 372.500, 105, S10, B18, 1
B18, Trade, 374.440, 105, S05, B18, 1
B18, Trade, 378.520, 105, S09, B18, 1
B18, Trade, 385.620, 107, S05, B18, 1
B18, Trade, 389.460, 112, S10, B18, 1
B18, Trade, 397.080, 110, S14, B18, 1
B18, Trade, 403.040, 104, S13, B18, 1
B18, Trade, 403.740, 102, S12, B18, 1
B18, Trade, 413.560, 108, S05, B18, 1
B18, Trade, 416.280, 103, S12, B18, 1
B18, Trade, 422.440, 103, S09, B18, 1
B18, Trade, 428.600, 104, S05, B18, 1
B18, Trade, 434.920, 98, S06, B18, 1
B18, Trade, 442.140, 115, S03, B18, 1
B18, Trade, 447.980, 108, S14, B18, 1
B18, Trade, 452.740, 101, S04, B18, 1
B18, Trade, 457.140, 104, S12, B18, 1
B18, Trade, 464.180, 103, S10, B18, 1
B18, Trade, 466.360, 104, S13, B18, 1
B18, Trade, 472.600, 108, S12, B18, 1
B18, Trade, 476.980, 115, S14, B18, 1
B18, Trade, 481.160, 110, S05, B18, 1
B18, Trade, 492.180, 107, S12, B18, 1
B18, Trade, 495.140, 104, S10, B18, 1
B18, Trade, 499.600, 116, S02, B18, 1
B18, Trade, 506.960, 115, S14, B18, 1
B18, Trade, 513.800, 103, S09, B18, 1
B18, Trade, 516.940, 116, S03, B18, 1
B18, Trade, 522.660, 104, S01, B18, 1
B18, Trade, 529.020, 104, S13, B18, 1
B18, Trade, 535.760, 112, S06, B18, 1
B18, Trade, 541.740, 103, S09, B18, 1
B18, Trade, 547.140, 113, S14, B18, 1
B18, Trade, 554.280, 105, S10, B18, 1
B18, Trade, 556.040, 105, S01, B18, 1
B18, Trade, 563.680, 105, S12, B18, 1
