B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 21
B10, Trade, 390.180, 90, B10, S08, 1
B10, Trade, 467.760, 90, B10, S09, 1
B10, Trade, 500.280, 90, B10, S05, 1
B10, Trade, 516.040, 90, B10, S09, 1
B10, Trade, 548.760, 90, B10, S03, 1
B10, Trade, 639.140, 90, B10, S03, 1
B10, Trade, 641.220, 90, B10, S05, 1
B10, Trade, 675.680, 90, B10, S08, 1
B10, Trade, 697.760, 90, B10, S08, 1
B10, Trade, 711.340, 90, B10, S00, 1
B10, Trade, 716.940, 90, B10, S08, 1
B10, Trade, 751.480, 90, B10, S08, 1
B10, Trade, 782.380, 90, B10, S03, 1
B10, Trade, 788.640, 90, B10, S05, 1
B10, Trade, 799.120, 90, B10, S05, 1
B10, Trade, 803.680, 90, B10, S08, 1
B10, Trade, 824.720, 90, B10, S08, 1
B10, Trade, 835.140, 90, B10, S08, 1
B10, Trade, 846.640, 90, B10, S08, 1
B10, Trade, 850.200, 90, B10, S08, 1
B10, Trade, 858.200, 90, B10, S00, 1
B11, 96
B11, Trade, 11.300, 95, B11, S08, 1
B11, Trade, 43.040, 95, B11, S08, 1
B11, Trade, 46.820, 95, B11, S06, 1
B11, Trade, 69.520, 95, B11, S08, 1
B11, Trade, 81.920, 95, B11, S00, 1
B11, Trade, 87.680, 95, B11, S08, 1
B11, Trade, 95.680, 95, B11, S08, 1
B11, Trade, 107.420, 95, B11, S09, 1
B11, Trade, 118.600, 95, B11, S08, 1
B11, Trade, 122.060, 95, B11, S07, 1
B11, Trade, 123.280, 95, B11, S00, 1
B11, Trade, 130.680, 95, B11, S09, 1
B11, Trade, 132.120, 95, B11, S06, 1
B11, Trade, 156.780, 95, B11, S08, 1
B11, Trade, 159.180, 95, B11, S06, 1
B11, Trade, 170.280, 95, B11, S08, 1
B11, Trade, 186.080, 95, B11, S10, 1
B11, Trade, 198.660, 95, B11, S08, 1
B11, Trade, 210.240, 95, S02, B11, 1
B11, Trade, 214.180, 95, B11, S10, 1
B11, Trade, 220.220, 95, B11, S03, 1
B11, Trade, 224.680, 95, B11, S03, 1
B11, Trade, 235.080, 95, B11, S03, 1
B11, Trade, 246.500, 95, B11, S03, 1
B11, Trade, 251.320, 94, S02, B11, 1
B11, Trade, 255.140, 92, S06, B11, 1
B11, Trade, 263.160, 95, B11, S08, 1
B11, Trade, 272.180, 95, S11, B11, 1
B11, Trade, 276.820, 95, B11, S08, 1
B11, Trade, 285.100, 95, B11, S00, 1
B11, Trade, 302.840, 95, B11, S08, 1
B11, Trade, 315.860, 95, B11, S07, 1
