B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B11, Trade, 533.520, 81, B11, S02, 1
B11, Trade, 541.960, 95, B11, S10, 1
B11, Trade, 547.340, 88, B11, S06, 1
B11, Trade, 554.260, 95, B11, S02, 1
B11, Trade, 565.560, 89, B11, S04, 1
B11, Trade, 572.580, 91, B11, S06, 1
B11, Trade, 579.340, 95, B11, S01, 1
B11, Trade, 581.860, 82, B11, S00, 1
B11, Trade, 585.600, 95, B11, S06, 1
B11, Trade, 595.300, 95, B11, S10, 1
B11, Trade, 601.360, 95, B11, S06, 1
B11, Trade, 613.160, 95, B11, S08, 1
B11, Trade, 617.900, 95, B11, S10, 1
B11, Trade, 629.000, 95, B11, S02, 1
B11, Trade, 638.120, 95, B11, S06, 1
B11, Trade, 658.440, 88, B11, S02, 1
B11, Trade, 667.400, 91, S09, B11, 1
B11, Trade, 682.740, 95, B11, S06, 1
B11, Trade, 683.920, 95, B11, S02, 1
B11, Trade, 690.500, 84, B11, S08, 1
B11, Trade, 697.600, 95, B11, S08, 1
B11, Trade, 704.460, 81, B11, S06, 1
B11, Trade, 711.400, 92, B11, S10, 1
B11, Trade, 713.340, 89, S00, B11, 1
B11, Trade, 720.140, 88, S05, B11, 1
B11, Trade, 723.060, 88, S09, B11, 1
B11, Trade, 728.580, 90, B11, S01, 1
B11, Trade, 737.440, 95, B11, S08, 1
B11, Trade, 745.580, 88, B11, S08, 1
B11, Trade, 752.880, 88, B11, S08, 1
B11, Trade, 757.840, 90, S05, B11, 1
B11, Trade, 764.680, 95, B11, S10, 1
B11, Trade, 771.320, 94, S01, B11, 1
B11, Trade, 774.440, 94, B11, S10, 1
B11, Trade, 781.500, 80, B11, S02, 1
B11, Trade, 789.980, 83, B11, S08, 1
B11, Trade, 806.160, 95, B11, S08, 1
B11, Trade, 814.060, 95, B11, S10, 1
B11, Trade, 822.740, 91, S03, B11, 1
B11, Trade, 828.580, 95, B11, S06, 1
B11, Trade, 832.600, 95, B11, S06, 1
B11, Trade, 843.760, 95, B11, S10, 1
B11, Trade, 847.860, 95, B11, S10, 1
B11, Trade, 857.860, 93, B11, S06, 1
B12, 100
B12, Trade, 248.200, 97, B12, S11, 1
B12, Trade, 255.280, 90, B12, S07, 1
B12, Trade, 260.660, 96, B12, S06, 1
B12, Trade, 264.820, 94, B12, S04, 1
B12, Trade, 271.240, 99, B12, S02, 1
B12, Trade, 275.600, 98, B12, S08, 1
B12, Trade, 278.520, 96, B12, S06, 1
B12, Trade, 287.060, 99, B12, S10, 1
B12, Trade, 291.240, 94, S03, B12, 1
B12, Trade, 297.120, 90, S00, B12, 1
B12, Trade, 300.360, 89, S09, B12, 1
B12, Trade, 307.120, 98, B12, S10, 1
B12, Trade, 311.240, 99, B12, S08, 1
B12, Trade, 317.860, 91, S10, B12, 1
B12, Trade, 321.080, 95, B12, S02, 1
B12, Trade, 326.980, 88, S00, B12, 1
B12, Trade, 334.800, 93, S01, B12, 1
B12, Trade, 341.600, 94, B12, S02, 1
B12, Trade, 347.100, 95, B12, S06, 1
B12, Trade, 350.160, 90, S04, B12, 1
B12, Trade, 359.300, 88, B12, S03, 1
B12, Trade, 361.060, 83, S04, B12, 1
B12, Trade, 367.460, 94, B12, S02, 1
B12, Trade, 373.760, 98, B12, S10, 1
B12, Trade, 378.280, 98, B12, S11, 1
B12, Trade, 383.260, 91, S10, B12, 1
B12, Trade, 389.360, 90, S09, B12, 1
B12, Trade, 403.540, 95, B12, S02, 1
B12, Trade, 409.360, 95, S11, B12, 1
B12, Trade, 420.780, 99, B12, S08, 1
B12, Trade, 424.640, 99, B12, S02, 1
B12, Trade, 427.540, 90, S00, B12, 1
B12, Trade, 429.820, 91, S10, B12, 1
B12, Trade, 442.900, 96, S09, B12, 1
B12, Trade, 447.020, 95, B12, S02, 1
B12, Trade, 449.920, 92, S09, B12, 1
B12, Trade, 458.520, 98, B12, S06, 1
B12, Trade, 462.400, 96, B12, S08, 1
B12, Trade, 465.820, 95, S00, B12, 1
B12, Trade, 478.700, 94, B12, S08, 1
B12, Trade, 482.180, 98, B12, S02, 1
B12, Trade, 487.540, 99, B12, S10, 1
B12, Trade, 493.740, 86, S03, B12, 1
B12, Trade, 504.040, 95, B12, S02, 1
B12, Trade, 507.740, 98, B12, S02, 1
B12, Trade, 520.960, 98, B12, S06, 1
B12, Trade, 523.960, 96, B12, S11, 1
B12, Trade, 532.660, 95, B12, S10, 1
B12, Trade, 537.100, 91, S10, B12, 1
B12, Trade, 544.240, 98, B12, S09, 1
B12, Trade, 549.580, 88, S04, B12, 1
B12, Trade, 554.720, 96, B12, S08, 1
B12, Trade, 560.400, 91, S10, B12, 1
B12, Trade, 562.820, 93, B12, S06, 1
B12, Trade, 569.540, 91, B12, S05, 1
B12, Trade, 577.120, 99, B12, S10, 1
B12, Trade, 587.200, 94, S05, B12, 1
B12, Trade, 590.180, 94, B12, S02, 1
B12, Trade, 593.880, 97, B12, S08, 1
B12, Trade, 595.700, 96, S03, B12, 1
B12, Trade, 608.440, 99, B12, S02, 1
