B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B10, Trade, 371.580, 91, B10, S00, 1
B11, 0
B12, 55
B12, Trade, 27.100, 99, B12, S00, 1
B12, Trade, 49.840, 99, B12, S10, 1
B12, Trade, 68.720, 99, B12, S10, 1
B12, Trade, 98.840, 99, B12, S07, 1
B12, Trade, 138.480, 99, B12, S07, 1
B12, Trade, 141.220, 99, B12, S00, 1
B12, Trade, 160.220, 99, B12, S00, 1
B12, Trade, 189.500, 99, B12, S07, 1
B12, Trade, 200.060, 99, B12, S10, 1
B12, Trade, 270.280, 99, B12, S07, 1
B12, Trade, 275.460, 99, B12, S07, 1
B12, Trade, 291.700, 98, B12, S07, 1
B12, Trade, 298.840, 98, B12, S10, 1
B12, Trade, 335.300, 99, B12, S00, 1
B12, Trade, 364.200, 97, B12, S10, 1
B12, Trade, 381.360, 97, B12, S10, 1
B12, Trade, 390.460, 99, B12, S00, 1
B12, Trade, 420.280, 99, B12, S10, 1
B12, Trade, 430.320, 99, B12, S10, 1
B12, Trade, 448.620, 99, B12, S07, 1
B12, Trade, 454.140, 98, B12, S00, 1
B12, Trade, 468.220, 97, B12, S10, 1
B12, Trade, 473.020, 99, B12, S07, 1
B12, Trade, 480.500, 97, B12, S10, 1
B12, Trade, 508.680, 99, B12, S07, 1
B12, Trade, 522.920, 99, B12, S10, 1
B12, Trade, 529.400, 99, B12, S00, 1
B12, Trade, 533.060, 99, B12, S07, 1
B12, Trade, 538.960, 99, B12, S07, 1
B12, Trade, 561.780, 97, B12, S00, 1
B12, Trade, 579.240, 95, B12, S10, 1
B12, Trade, 584.680, 97, B12, S10, 1
B12, Trade, 601.780, 99, B12, S07, 1
B12, Trade, 611.440, 99, B12, S00, 1
B12, Trade, 630.780, 99, B12, S10, 1
B12, Trade, 632.380, 98, B12, S09, 1
B12, Trade, 637.640, 97, B12, S04, 1
B12, Trade, 643.480, 96, B12, S00, 1
B12, Trade, 647.900, 98, B12, S08, 1
B12, Trade, 656.620, 96, B12, S10, 1
B12, Trade, 671.840, 99, B12, S07, 1
B12, Trade, 687.580, 99, B12, S03, 1
B12, Trade, 695.000, 99, B12, S07, 1
B12, Trade, 706.300, 98, B12, S00, 1
B12, Trade, 717.220, 98, B12, S10, 1
B12, Trade, 722.780, 99, B12, S07, 1
B12, Trade, 753.080, 98, B12, S00, 1
B12, Trade, 765.220, 99, B12, S07, 1
B12, Trade, 771.520, 99, B12, S11, 1
B12, Trade, 778.520, 99, B12, S09, 1
B12, Trade, 786.720, 99, B12, S00, 1
