B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B11, Trade, 560.560, 94, B11, S08, 1
B11, Trade, 568.920, 94, B11, S08, 1
B11, Trade, 578.240, 94, B11, S07, 1
B11, Trade, 579.440, 93, S02, B11, 1
B11, Trade, 588.000, 94, B11, S00, 1
B11, Trade, 594.400, 94, B11, S00, 1
B11, Trade, 608.220, 93, B11, S08, 1
B11, Trade, 613.040, 93, B11, S00, 1
B11, Trade, 626.580, 94, B11, S09, 1
B11, Trade, 633.240, 94, B11, S09, 1
B11, Trade, 646.480, 94, B11, S09, 1
B11, Trade, 653.700, 94, B11, S10, 1
B11, Trade, 657.880, 92, B11, S00, 1
B11, Trade, 687.140, 94, B11, S00, 1
B11, Trade, 690.660, 93, B11, S07, 1
B11, Trade, 697.500, 92, B11, S08, 1
B11, Trade, 709.640, 90, B11, S00, 1
B11, Trade, 717.360, 94, B11, S03, 1
B11, Trade, 718.500, 94, B11, S00, 1
B11, Trade, 723.920, 94, B11, S09, 1
B11, Trade, 733.340, 94, B11, S04, 1
B11, Trade, 756.600, 94, B11, S00, 1
B11, Trade, 762.840, 94, B11, S10, 1
B11, Trade, 769.320, 92, B11, S08, 1
B11, Trade, 772.040, 87, S01, B11, 1
B11, Trade, 797.940, 92, B11, S09, 1
B11, Trade, 808.020, 93, B11, S00, 1
B11, Trade, 817.560, 94, B11, S04, 1
B11, Trade, 824.600, 94, B11, S04, 1
B11, Trade, 843.000, 94, B11, S00, 1
B11, Trade, 849.500, 94, B11, S04, 1
B11, Trade, 861.840, 94, B11, S09, 1
B12, 100
B12, Trade, 168.140, 94, B12, S04, 1
B12, Trade, 173.600, 93, B12, S04, 1
B12, Trade, 180.300, 90, S03, B12, 1
B12, Trade, 184.720, 97, B12, S08, 1
B12, Trade, 186.480, 97, B12, S09, 1
B12, Trade, 197.280, 96, B12, S05, 1
B12, Trade, 201.380, 97, B12, S09, 1
B12, Trade, 207.900, 96, B12, S09, 1
B12, Trade, 211.980, 97, B12, S02, 1
B12, Trade, 217.400, 92, S09, B12, 1
B12, Trade, 225.620, 96, B12, S04, 1
B12, Trade, 232.620, 93, B12, S09, 1
B12, Trade, 240.400, 95, B12, S09, 1
B12, Trade, 250.340, 99, B12, S00, 1
B12, Trade, 256.120, 96, B12, S00, 1
B12, Trade, 261.740, 96, B12, S08, 1
B12, Trade, 266.460, 95, B12, S04, 1
B12, Trade, 271.920, 97, B12, S01, 1
B12, Trade, 273.460, 96, B12, S09, 1
B12, Trade, 287.180, 95, B12, S03, 1
B12, Trade, 293.220, 99, B12, S08, 1
B12, Trade, 302.180, 90, B12, S09, 1
