B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B16, Trade, 667.433, 99, S01, B16, 1
B16, Trade, 673.833, 97, B16, S02, 1
B16, Trade, 681.867, 105, S09, B16, 1
B16, Trade, 687.867, 105, B16, S16, 1
B16, Trade, 692.800, 103, S01, B16, 1
B16, Trade, 702.250, 98, S09, B16, 1
B16, Trade, 704.900, 100, S14, B16, 1
B16, Trade, 713.967, 105, B16, S08, 1
B16, Trade, 722.350, 98, B16, S02, 1
B16, Trade, 726.750, 102, B16, S02, 1
B16, Trade, 733.483, 102, B16, S02, 1
B16, Trade, 735.950, 101, B16, S14, 1
B16, Trade, 749.600, 105, B16, S02, 1
B16, Trade, 753.917, 98, B16, S02, 1
B16, Trade, 764.550, 100, S10, B16, 1
B16, Trade, 769.033, 98, B16, S09, 1
B16, Trade, 772.383, 99, B16, S11, 1
B16, Trade, 779.417, 102, B16, S06, 1
B16, Trade, 781.867, 100, S12, B16, 1
B16, Trade, 787.883, 100, S06, B16, 1
B16, Trade, 791.300, 100, B16, S02, 1
B16, Trade, 796.517, 104, S12, B16, 1
B16, Trade, 801.217, 105, B16, S06, 1
B16, Trade, 812.917, 99, S01, B16, 1
B16, Trade, 819.983, 92, B16, S00, 1
B16, Trade, 821.033, 97, B16, S04, 1
B16, Trade, 830.817, 97, B16, S04, 1
B16, Trade, 836.500, 101, B16, S11, 1
B16, Trade, 844.800, 101, B16, S02, 1
B16, Trade, 849.267, 102, S08, B16, 1
B16, Trade, 852.883, 103, B16, S14, 1
B16, Trade, 857.617, 103, B16, S12, 1
B17, 100
B17, Trade, 336.717, 105, S07, B17, 1
B17, Trade, 342.900, 102, S07, B17, 1
B17, Trade, 345.567, 108, B17, S06, 1
B17, Trade, 351.067, 108, B17, S12, 1
B17, Trade, 359.433, 108, S17, B17, 1
B17, Trade, 366.417, 100, S06, B17, 1
B17, Trade, 372.533, 105, S09, B17, 1
B17, Trade, 377.400, 100, S06, B17, 1
B17, Trade, 383.100, 100, S14, B17, 1
B17, Trade, 386.133, 102, S15, B17, 1
B17, Trade, 392.067, 106, S16, B17, 1
B17, Trade, 392.683, 108, S17, B17, 1
B17, Trade, 398.333, 100, S14, B17, 1
B17, Trade, 404.483, 100, S06, B17, 1
B17, Trade, 411.983, 101, S15, B17, 1
B17, Trade, 415.717, 96, S07, B17, 1
B17, Trade, 419.550, 102, S07, B17, 1
B17, Trade, 425.517, 107, S09, B17, 1
B17, Trade, 429.717, 104, S12, B17, 1
B17, Trade, 435.850, 107, S16, B17, 1
B17, Trade, 441.750, 100, S12, B17, 1
B17, Trade, 448.217, 108, B17, S11, 1
B17, Trade, 449.767, 108, B17, S12, 1
B17, Trade, 456.867, 101, S15, B17, 1
B17, Trade, 462.950, 104, S13, B17, 1
B17, Trade, 465.917, 100, S01, B17, 1
B17, Trade, 472.150, 99, S12, B17, 1
B17, Trade, 477.383, 108, B17, S12, 1
B17, Trade, 483.183, 108, S09, B17, 1
B17, Trade, 492.167, 100, S12, B17, 1
B17, Trade, 494.367, 100, S10, B17, 1
B17, Trade, 502.967, 108, B17, S01, 1
B17, Trade, 505.700, 100, S14, B17, 1
B17, Trade, 513.300, 108, B17, S06, 1
B17, Trade, 514.267, 108, B17, S10, 1
B17, Trade, 524.467, 100, S07, B17, 1
B17, Trade, 528.483, 99, S09, B17, 1
B17, Trade, 533.283, 100, S10, B17, 1
B17, Trade, 535.967, 105, S12, B17, 1
B17, Trade, 539.933, 101, S15, B17, 1
B17, Trade, 544.017, 108, S17, B17, 1
B17, Trade, 551.767, 103, S12, B17, 1
B17, Trade, 559.200, 100, S06, B17, 1
B17, Trade, 563.267, 98, S07, B17, 1
B17, Trade, 568.300, 102, S12, B17, 1
B17, Trade, 573.183, 105, S15, B17, 1
B17, Trade, 575.983, 108, S13, B17, 1
B17, Trade, 581.533, 102, S13, B17, 1
B17, Trade, 587.850, 98, S01, B17, 1
B17, Trade, 590.567, 100, S09, B17, 1
B17, Trade, 598.817, 99, S12, B17, 1
B17, Trade, 600.733, 101, S15, B17, 1
B17, Trade, 606.550, 107, S16, B17, 1
B17, Trade, 613.217, 98, S13, B17, 1
B17, Trade, 619.117, 108, S17, B17, 1
B17, Trade, 620.167, 105, S01, B17, 1
B17, Trade, 628.817, 98, S07, B17, 1
B17, Trade, 634.650, 108, S17, B17, 1
B17, Trade, 641.833, 100, S01, B17, 1
B17, Trade, 645.050, 104, S15, B17, 1
B17, Trade, 654.300, 108, S13, B17, 1
B17, Trade, 657.083, 100, S14, B17, 1
B17, Trade, 662.083, 108, B17, S00, 1
B17, Trade, 664.867, 102, S12, B17, 1
B17, Trade, 671.567, 99, S12, B17, 1
B17, Trade, 678.733, 100, S06, B17, 1
B17, Trade, 684.067, 106, S01, B17, 1
B17, Trade, 690.367, 104, S13, B17, 1
B17, Trade, 691.100, 104, S12, B17, 1
B17, Trade, 702.800, 100, S10, B17, 1
B17, Trade, 712.367, 108, B17, S02, 1
B17, Trade, 713.817, 108, S01, B17, 1
B17, Trade, 716.900, 108, B17, S01, 1
B17, Trade, 723.133, 100, S12, B17, 1
B17, Trade, 724.950, 107, S09, B17, 1
B17, Trade, 733.367, 108, B17, S06, 1
B17, Trade, 739.500, 102, S15, B17, 1
B17, Trade, 744.050, 108, S17, B17, 1
B17, Trade, 749.850, 106, S09, B17, 1
B17, Trade, 754.700, 99, S09, B17, 1
B17, Trade, 759.683, 108, S17, B17, 1
B17, Trade, 764.617, 101, S15, B17, 1
B17, Trade, 767.783, 100, S10, B17, 1
B17, Trade, 772.267, 100, S06, B17, 1
B17, Trade, 777.533, 102, S13, B17, 1
B17, Trade, 783.333, 99, S12, B17, 1
B17, Trade, 788.267, 101, S01, B17, 1
B17, Trade, 792.883, 104, S07, B17, 1
B17, Trade, 802.533, 104, S15, B17, 1
B17, Trade, 806.383, 107, S09, B17, 1
B17, Trade, 812.517, 100, S06, B17, 1
B17, Trade, 819.000, 100, S06, B17, 1
B17, Trade, 820.450, 98, S13, B17, 1
B17, Trade, 826.583, 107, S16, B17, 1
B17, Trade, 836.683, 107, S13, B17, 1
B17, Trade, 839.950, 108, S17, B17, 1
B17, Trade, 845.233, 103, S01, B17, 1
B17, Trade, 845.817, 103, S09, B17, 1
B17, Trade, 851.250, 105, S12, B17, 1
B17, Trade, 858.317, 108, S17, B17, 1
B18, 100
B18, Trade, 282.100, 101, B18, S00, 1
B18, Trade, 284.900, 101, B18, S12, 1
B18, Trade, 291.617, 100, B18, S07, 1
B18, Trade, 298.633, 100, S14, B18, 1
B18, Trade, 306.350, 106, B18, S14, 1
B18, Trade, 310.700, 104, B18, S08, 1
B18, Trade, 318.500, 102, B18, S10, 1
B18, Trade, 320.300, 99, B18, S07, 1
B18, Trade, 326.500, 101, S12, B18, 1
B18, Trade, 335.067, 104, B18, S02, 1
B18, Trade, 342.467, 100, B18, S14, 1
